model,harness,fixed_of_105,fixed_v1_of_45,fixed_v2_of_60,genuine_extras_total,wall_min_total,cost_usd_list_equiv_total
"Muse Spark 1.3 (medium effort, Muse Code, Meta API)",Muse Code / Meta API,9,4,5,8,61.7,10.02
"Muse Spark 1.3 (low effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,9.7,5.0,4.7,6.7,36.4,5.61
"Muse Spark 1.3 (medium effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,13.0,5.3,7.7,17.3,58.3,9.24
"Muse Spark 1.3 (high effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,18.7,8.7,10.0,19.3,75.6,12.94
"Muse Spark 1.3 (xhigh effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,20.3,8.0,12.3,13.3,63.8,13.71
Grok 4.6 (xhigh) seq - mean of 3,Grok Build CLI (ACP),28.7,11.7,17.0,18.0,43.1,18.6
"Muse Spark 1.3 (max effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,33.7,15.3,18.3,26.3,89.8,19.16
GPT-6 Astra (max effort) - mean of 3,Codex CLI,45.0,22.0,23.0,55.0,89.8,33.03
DeepSeek V4.1 Flash (max effort) - mean of 3,Claude Code / DeepSeek API,21.7,11.3,10.3,6.7,55.9,0.78
"GLM-5.3 Flash (max effort, Z.ai API) - mean of 3",Claude Code / Z.ai API,17.7,9.3,8.3,3.3,63.2,1.03
Gemini 3.8 Flash - mean of 3,Antigravity CLI,18.0,6.7,11.3,4.0,38.7,11.03
"Qwen3.8-27B (xhigh effort, Alibaba API) - mean of 3",Claude Code / Alibaba API,15.0,5.7,9.3,2.3,56.8,5.55
Qwen3.8-27B 8-bit (OpenRouter/Parasail),Claude Code / OpenRouter,8,2,6,2,59.0,2.11
"Qwen3.8-Max (max effort, Alibaba API) - mean of 3",Claude Code / Alibaba API,25.7,12.3,13.3,7.0,117.1,26.76
gpt-oss-120b - mean of 3,Claude Code / OpenRouter,0.0,0.0,0.0,0.3,3.7,0.11
gpt-oss-20b - mean of 3,Claude Code / OpenRouter,0.0,0.0,0.0,0.0,7.4,0.11
Qwen3.8-27B 8-bit (OpenRouter/Parasail) - mean of 3,Claude Code / OpenRouter,10.7,3.7,7.0,1.7,56.6,2.97
Gemma 4 31B (OpenRouter/Crusoe),Claude Code / OpenRouter,4,1,3,2,221.8,8.61
Gemma 4 31B 4-bit (OpenRouter/CoreWeave),Claude Code / OpenRouter,3,1,2,2,24.9,0.56
GPT-5.6 Sol (max effort) - mean of 2,Codex CLI,43.5,19.0,24.5,48.5,253.1,95.35
"Muse Spark 1.3 (max effort, Muse Code, Meta API) - mean of 5",Muse Code / Meta API,32.2,14.2,18.0,24.0,85.6,18.11
Union Alpha (stealth; free),Claude Code / OpenRouter,32,16,16,11,32.7,0.0
Union Alpha (stealth; free) - mean of 3,Claude Code / OpenRouter,30.7,16.0,14.7,10.3,38.2,0.0
Grok 4.7 (xhigh) seq - mean of 3,Grok Build CLI (ACP),28.7,13.3,15.3,31.7,46.2,23.17
Grok 4.7 (xhigh) seq - mean of 4,Grok Build CLI (ACP),28.8,13.0,15.8,31.8,46.0,22.89
Grok 4.7 (high),Grok Build CLI (ACP),19,9,10,18,40.5,11.53
Grok 4.7 (medium),Grok Build CLI (ACP),30,11,19,30,32.4,25.15
Grok 4.7 (low),Grok Build CLI (ACP),11,5,6,12,15.1,5.41
MiMo-V2.6-Pro,Claude Code / OpenRouter,20,9,11,3,56.4,0.79
Grok 4.7 (high) - mean of 3,Grok Build CLI (ACP),19.3,8.7,10.7,15.7,37.9,12.29
Grok 4.7 (medium) - mean of 3,Grok Build CLI (ACP),26.7,12.0,14.7,22.7,30.7,16.76
MiMo-V2.6-Pro (first-party),Claude Code / Xiaomi first-party,18,9,9,4,74.9,0.59
Grok 4.7 (low) - mean of 3,Grok Build CLI (ACP),15.7,10.3,5.3,18.3,22.2,9.36
GPT-5.6 Luna (max effort) - mean of 2,Codex CLI,31.5,16.5,15.0,44.0,170.0,2.82
MiMo-V2.6-Pro - mean of 2,Claude Code / OpenRouter,22.0,10.5,11.5,5.5,96.6,0.91
MiMo-V2.6-Pro - mean of 3,Claude Code / OpenRouter,22.7,11.3,11.3,5.3,90.9,0.87
GPT-5.6 Luna (max effort) - mean of 3,Codex CLI,31.3,16.0,15.3,54.7,187.1,3.15
Opus 5.5 (max effort),Claude Code,43,18,25,9,68.5,60.49
MiMo-V2.6-Flash - mean of 3,Claude Code / OpenRouter,23.3,8.0,15.3,7.3,70.7,0.5
Opus 5.5 (xhigh effort),Claude Code,35,16,19,14,43.7,35.14
Opus 5.5 (high effort),Claude Code,32,14,18,7,23.8,23.03
Opus 5.5 (medium effort),Claude Code,30,11,19,15,17.2,16.55
GPT-6 Sol (max effort),Codex CLI,32,18,14,48,60.4,10.03
Opus 5.5 (max effort) - mean of 2,Claude Code,41.0,17.5,23.5,9.0,64.3,59.45
Opus 5.5 (xhigh effort) - mean of 2,Claude Code,36.0,17.5,18.5,15.5,44.6,35.94
Opus 5.5 (high effort) - mean of 2,Claude Code,32.0,13.5,18.5,9.5,24.1,22.4
Opus 5.5 (medium effort) - mean of 2,Claude Code,30.0,12.5,17.5,14.0,17.3,15.67
Opus 5.5 (max effort) - mean of 3,Claude Code,41.7,19.0,22.7,9.0,66.9,58.53
Opus 5.5 (xhigh effort) - mean of 3,Claude Code,36.0,17.0,19.0,13.3,42.5,34.98
Opus 5.5 (high effort) - mean of 3,Claude Code,31.7,13.0,18.7,10.7,23.9,22.25
Opus 5.5 (medium effort) - mean of 3,Claude Code,30.3,12.7,17.7,13.3,17.0,15.68
GPT-6 Sol (max effort) - mean of 2,Codex CLI,31.0,17.0,14.0,41.0,59.3,9.1
Opus 5.5 (low effort),Claude Code,23,11,12,14,12.4,8.68
Opus 5.5 (low effort) - mean of 2,Claude Code,24.0,12.0,12.0,9.5,11.3,8.73
Opus 5.5 (low effort) - mean of 3,Claude Code,22.3,11.3,11.0,9.7,11.5,8.34
GPT-6 Sol (max effort) - mean of 3,Codex CLI,29.3,15.3,14.0,41.3,63.4,9.33
GPT-6 Sol (xhigh effort),Codex CLI,25,10,15,24,51.4,7.67
GPT-6 Sol (high effort),Codex CLI,20,10,10,15,33.9,4.16
GPT-6 Sol (medium effort),Codex CLI,14,3,11,13,24.5,2.39
GPT-6 Sol (low effort),Codex CLI,6,3,3,5,11.1,1.08
GPT-6 Luna (max effort),Codex CLI,17,6,11,22,85.8,0.52
GPT-6 Luna (max effort) - mean of 2,Codex CLI,19.0,6.5,12.5,20.5,94.9,0.51
GPT-6 Luna (max effort) - mean of 3,Codex CLI,18.3,6.3,12.0,22.7,99.2,0.52
GPT-6 Luna (xhigh effort),Codex CLI,14,4,10,12,57.0,0.39
