model,harness,fixed_of_45,partial,claimed_only,genuine_extras,false_positive_fixes,wall_min,cost_usd_list_equiv
DeepSeek V4.1 Flash (high effort),Claude Code / DeepSeek API,9,2,2,2,0,14.4,0.18
"DeepSeek V4-Pro (max effort, DeepSeek API)",Claude Code / DeepSeek API,8,0,2,1,0,19.6,0.89
"DeepSeek V4-Pro (high effort, DeepSeek API)",Claude Code / DeepSeek API,4,0,1,0,0,11.7,0.48
Fable 5.1 (medium effort),Claude Code,8,0,1,0,0,10.0,7.21
Opus 4.8 (max effort),Claude Code,6,0,0,0,0,63.7,28.08
Sonnet 5 (max effort),Claude Code,3,0,0,0,0,32.9,12.98
Fable 5.1 (xhigh effort),Claude Code,13,0,2,0,0,25.8,15.45
"GLM-5.3 (max effort, Z.ai API)",Claude Code / Z.ai API,9,0,0,1,0,16.9,5.66
Qwen3.8-Flash (low effort),Claude Code / Alibaba API,11,0,3,3,0,42.9,0.67
Qwen3.8-Flash (max effort),Claude Code / Alibaba API,13,0,3,3,0,40.4,0.62
"Qwen3.8-Max (max effort, Alibaba API)",Claude Code / Alibaba API,13,0,0,2,0,46.2,8.31
"Qwen3.8-27B (xhigh effort, Alibaba API)",Claude Code / Alibaba API,6,0,2,1,0,24.8,2.48
gpt-oss-120b,Claude Code / OpenRouter,0,0,0,0,0,1.1,0.02
gpt-oss-20b,Claude Code / OpenRouter,0,0,0,0,0,0.9,0.03
"Muse Spark 1.3 (high effort, Muse Code, OpenRouter)",Muse Code / OpenRouter,6,0,0,3,0,29.0,4.55
"GLM-5.3 Flash (max effort, Z.ai API)",Claude Code / Z.ai API,10,0,1,0,0,30.0,0.32
"Muse Spark 1.3 (max effort, Muse Code, Meta API)",Muse Code / Meta API,14,0,0,8,0,51.6,11.53
"Muse Spark 1.3 (high effort, Muse Code, Meta API)",Muse Code / Meta API,8,0,0,1,0,43.1,6.83
"Muse Spark 1.3 (xhigh effort, Muse Code, Meta API)",Muse Code / Meta API,8,0,0,2,0,48.4,9.53
"GLM-5.3 Flash (low effort, Z.ai API)",Claude Code / Z.ai API,7,0,0,1,0,13.2,0.11
"GLM-5.3 Flash (high effort, Z.ai API)",Claude Code / Z.ai API,9,0,1,1,0,30.4,0.36
"Muse Spark 1.3 (medium effort, Muse Code, Meta API)",Muse Code / Meta API,4,2,1,5,0,34.4,4.8
"Muse Spark 1.3 (low effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,5.0,0.3,1.3,0.3,0,21.6,3.35
"Muse Spark 1.3 (medium effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,5.3,1.3,0.3,8.7,0,29.5,4.19
"Muse Spark 1.3 (high effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,8.7,0.0,1.0,3.3,0,48.0,7.7
"Muse Spark 1.3 (xhigh effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,8,0,0,3,0,36.5,6.68
Grok 4.6 (xhigh) seq - mean of 3,Grok Build CLI (ACP),11.7,1.7,0.7,7.3,0,20.6,9.93
"Muse Spark 1.3 (max effort, Muse Code, Meta API) - mean of 3",Muse Code / Meta API,15.3,0.0,0.0,9.0,0,46.0,10.33
GPT-6 Astra (max effort) - mean of 3,Codex CLI,22.0,0.3,0.0,22.3,0,41.5,15.0
DeepSeek V4.1 Flash (max effort) - mean of 3,Claude Code / DeepSeek API,11.3,0.7,0.0,4.0,0,35.3,0.41
"GLM-5.3 Flash (max effort, Z.ai API) - mean of 3",Claude Code / Z.ai API,9.3,0.0,1.0,1.0,0,34.2,0.41
Gemini 3.8 Flash - mean of 3,Antigravity CLI,6.7,0.0,0.0,0.0,0,17.5,5.82
"Qwen3.8-27B (xhigh effort, Alibaba API) - mean of 3",Claude Code / Alibaba API,5.7,0.0,2.0,0.7,0,25.4,2.07
Qwen3.8-27B 8-bit (OpenRouter/Parasail),Claude Code / OpenRouter,2,0,0,1,0,37.4,1.05
"Qwen3.8-Max (max effort, Alibaba API) - mean of 3",Claude Code / Alibaba API,12.3,0.7,0.0,2.7,0,57.5,9.56
gpt-oss-120b - mean of 3,Claude Code / OpenRouter,0.0,0.0,0.0,0.0,0,1.2,0.03
gpt-oss-20b - mean of 3,Claude Code / OpenRouter,0.0,0.0,0.0,0.0,0,1.2,0.04
Qwen3.8-27B 8-bit (OpenRouter/Parasail) - mean of 3,Claude Code / OpenRouter,3.7,0.0,0.0,0.3,0,30.8,1.46
Gemma 4 31B (OpenRouter/Crusoe),Claude Code / OpenRouter,1,0,0,1,0,205.2,8.08
Gemma 4 31B 4-bit (OpenRouter/CoreWeave),Claude Code / OpenRouter,1,0,0,0,0,12.8,0.26
GPT-5.6 Sol (max effort) - mean of 2,Codex CLI,19.0,0.5,0.0,21.5,0,100.2,40.66
"Muse Spark 1.3 (max effort, Muse Code, Meta API) - mean of 5",Muse Code / Meta API,14.2,0.0,0.4,7.0,0,40.1,8.65
Union Alpha (stealth; free),Claude Code / OpenRouter,16,1,0,6,0,16.3,0.0
Union Alpha (stealth; free) - mean of 3,Claude Code / OpenRouter,16.0,0.3,0.3,4.3,0,21.0,0.0
Grok 4.7 (xhigh) seq - mean of 3,Grok Build CLI (ACP),13.3,0.7,0.3,10.0,0,19.5,10.46
Grok 4.7 (xhigh) seq - mean of 4,Grok Build CLI (ACP),13.0,0.5,0.2,10.0,0,19.5,9.39
Grok 4.7 (high),Grok Build CLI (ACP),9,2,0,4,0,20.1,5.54
Grok 4.7 (medium),Grok Build CLI (ACP),11,2,0,6,0,13.8,10.65
Grok 4.7 (low),Grok Build CLI (ACP),5,0,0,4,0,7.8,2.88
MiMo-V2.6-Pro,Claude Code / OpenRouter,9,0,1,1,0,28.0,0.45
Grok 4.7 (high) - mean of 3,Grok Build CLI (ACP),8.7,1.3,0.0,4.3,0,17.4,5.67
Grok 4.7 (medium) - mean of 3,Grok Build CLI (ACP),12.0,1.7,0.0,8.0,0,14.1,8.7
MiMo-V2.6-Pro (first-party),Claude Code / Xiaomi first-party,9,0,0,2,0,31.7,0.32
Grok 4.7 (low) - mean of 3,Grok Build CLI (ACP),10.3,0.0,0.7,9.3,0,14.9,6.95
GPT-5.6 Luna (max effort) - mean of 2,Codex CLI,16.5,1.0,0.0,17.5,0,88.7,1.39
MiMo-V2.6-Pro - mean of 2,Claude Code / OpenRouter,10.5,0.0,1.5,2.0,0,58.2,0.58
MiMo-V2.6-Pro - mean of 3,Claude Code / OpenRouter,11.3,0.0,1.0,2.0,0,55.7,0.55
GPT-5.6 Luna (max effort) - mean of 3,Codex CLI,16.0,1.3,0.0,25.3,0,113.8,1.87
Opus 5.5 (max effort),Claude Code,18,1,0,3,0,29.4,20.26
MiMo-V2.6-Flash - mean of 3,Claude Code / OpenRouter,8.0,0.7,1.7,3.3,0,24.4,0.16
Opus 5.5 (xhigh effort),Claude Code,16,1,0,5,0,21.3,11.94
Opus 5.5 (high effort),Claude Code,14,2,0,1,0,10.8,8.89
Opus 5.5 (medium effort),Claude Code,11,1,0,3,0,6.5,5.91
GPT-6 Sol (max effort),Codex CLI,18,1,0,21,0,33.2,5.79
Opus 5.5 (max effort) - mean of 2,Claude Code,17.5,0.5,0.5,3.0,0,27.8,20.63
Opus 5.5 (xhigh effort) - mean of 2,Claude Code,17.5,1.0,0.0,5.0,0,20.2,12.7
Opus 5.5 (high effort) - mean of 2,Claude Code,13.5,1.5,0.0,1.5,0,10.4,8.0
Opus 5.5 (medium effort) - mean of 2,Claude Code,12.5,1.5,0.0,3.0,0,6.0,5.78
Opus 5.5 (max effort) - mean of 3,Claude Code,19.0,0.7,0.3,3.0,0,31.0,21.91
Opus 5.5 (xhigh effort) - mean of 3,Claude Code,17.0,1.3,0.3,4.0,0,18.5,12.43
Opus 5.5 (high effort) - mean of 3,Claude Code,13.0,1.0,0.7,1.3,0,9.5,7.5
Opus 5.5 (medium effort) - mean of 3,Claude Code,12.7,1.3,0.0,2.3,0,5.8,5.62
GPT-6 Sol (max effort) - mean of 2,Codex CLI,17.0,1.0,0.0,17.0,0,31.7,5.31
Opus 5.5 (low effort),Claude Code,11,0,0,1,0,3.9,3.53
Opus 5.5 (low effort) - mean of 2,Claude Code,12.0,0.0,0.0,1.0,0,4.3,4.43
Opus 5.5 (low effort) - mean of 3,Claude Code,11.3,0.0,0.7,1.0,0,4.2,4.46
GPT-6 Sol (max effort) - mean of 3,Codex CLI,15.3,1.3,0.3,16.0,0,33.7,5.47
GPT-6 Sol (xhigh effort),Codex CLI,10,1,0,12,0,31.4,4.87
GPT-6 Sol (high effort),Codex CLI,10,1,1,7,0,19.9,2.81
GPT-6 Sol (medium effort),Codex CLI,3,0,1,5,0,14.4,1.24
GPT-6 Sol (low effort),Codex CLI,3,0,0,2,0,7.5,0.74
GPT-6 Luna (max effort),Codex CLI,6,1,0,6,0,48.4,0.28
GPT-6 Luna (max effort) - mean of 2,Codex CLI,6.5,1.0,0.0,6.0,0,51.8,0.25
GPT-6 Luna (max effort) - mean of 3,Codex CLI,6.3,1.3,0.0,5.7,0,50.2,0.23
GPT-6 Luna (xhigh effort),Codex CLI,4,0,0,4,0,21.3,0.2
