arm,engine,effort,wall_s,input_tok,cache_write,cache_read,output_tok,reasoning_tok,total_tok,cost_est_usd,exit,notes
gpt56r2,GPT-5.6 Sol (re-run),high,1772.7,20207911,,19587584,48738,16906,20256649,14.3576,0,"auth=chatgpt-account;slug=gpt-5.6-sol; re-run 2026-07-31 after OpenAI serving improvements (list price unchanged) - fresh wall/cost/fixes replace the 07-26 row on cards, old run stays in receipts"
grok45max,Grok 4.5 (max),high,1.2,0,,0,0,0,0,,1,"VOID(false start: two concurrent grok CLI processes raced on auth.json and wiped credentials; device re-login, rerun below); SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5;effort=max companion to grok45(high), added 2026-07-31; EFFORT CORRECTION: requested max, CLI has no max and silently ran high (ACP-verified 2026-08-01) - second high run, variance not dial"
opus5max,Opus 5 (max),max,1572.5,3035,493593,43641100,65368,,44203096,26.5549,0,"model=claude-opus-5;effort=max companion to opus5(high), added 2026-07-31"
gpt56solmax,GPT-5.6 Sol (max),max,4776.5,54666810,,53349632,127394,50818,54794204,37.0825,0,"auth=chatgpt-account;slug=gpt-5.6-sol;effort=max companion to gpt56/gpt56r2(high), added 2026-07-31"
grok45max,Grok 4.5 (max),high,669.5,167834,,165120,279,18,168114,4.418,0,"FLOOR reconstructed from ~/.grok/sessions (3 sessions, 70 requests, 4.0M cached-read, rates 2/0.5/6 $/MTok); SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5;effort=max companion to grok45(high), added 2026-07-31; EFFORT CORRECTION: requested max, CLI has no max and silently ran high (ACP-verified 2026-08-01) - second high run, variance not dial"
fable5max,Fable 5 (max),max,1972.3,330,510018,54938062,85863,,55534273,65.6097,0,"model=claude-fable-5;effort=max companion to fable5(high), added 2026-08-01"
dsv4pro,DeepSeek V4-Pro,default,876.6,1182360,0,6033664,21862,,7237886,0.5552,0,"via=local OpenRouter shim (Anthropic wire format);upstream=OR:deepseek/deepseek-v4-pro;billing=token-estimate-at-OR-list (0.435/0.003625/0.87 per MTok, credits-delta cross-check); comparison arm vs dsv4flash; model string carries [1m] per the dsv4flash lesson (bare claude-opus-5 = 200K assumption, autocompact thrash); REAL-BILL $5.54 credits-delta for BOTH legs combined vs $1.26 token-estimate: cache-read billed at ~$0.36/M (near full input rate) - the OR-listed $0.003625/M cache discount did NOT materialize for v4-pro (v4-flash's did, to the cent); treat cost_est as understated ~4.4x | EFFORT LABEL CORRECTED 2026-08-06: this column previously read `high`. It ran at DEFAULT. OpenRouter accepts any effort value for these models - including a nonsense string - with HTTP 200 and applies none, so the tier was requested and never set. First-party APIs (Meta, xAI, Alibaba) reject an invalid value with an error instead. The scores are unchanged; only the label was wrong."
dsv4flash0731,DeepSeek V4-Flash 0731,default,1841.0,7673989,0,19717696,46663,,27438348,1.1426,0,"via=local OpenRouter shim (Anthropic wire format);upstream=OR:deepseek/deepseek-v4-flash-0731 (the Jul 31 re-post-trained revision, providers serve deepseek-v4-flash-20260731); the ORIGINAL dsv4flash arm resolved to the base slug = APRIL snapshot 20260423 (endpoints API verified 2026-08-01) - this arm is the actual new model; billing=token-estimate at OR list (0.14/0.0028/0.28), credits-delta canonical (v4-pro lesson: listed cache discount may not be honored); REAL-BILL both legs combined $1.52 credits-delta vs $1.74 estimate - cache pricing roughly honored for -0731 (unlike v4-pro) | EFFORT LABEL CORRECTED 2026-08-06: this column previously read `high`. It ran at DEFAULT. OpenRouter accepts any effort value for these models - including a nonsense string - with HTTP 200 and applies none, so the tier was requested and never set. First-party APIs (Meta, xAI, Alibaba) reject an invalid value with an error instead. The scores are unchanged; only the label was wrong."
qwen38max,Qwen3.8-Max,xhigh,4899.6,3919513,343350,24694130,73821,,29030814,15.3139,0,"via=local OpenRouter shim (Anthropic wire format);upstream=OR qwen3.8-max slug (announced 2026-08-03, not yet listed - a poller filled the slug and launched the run when OpenRouter listed it); billing=token-estimate at qwencloud list rates (2.0 in / 0.25 implicit-cache / 6.0 out; explicit-cache 2.5 write / 0.17 read NOT modeled - OR path decides which applies), credits-delta canonical per the v4-pro cache-pricing lesson; ctx 1M (991K max input, qwencloud) so the CLI model string MUST carry [1m] (bare claude-opus-5 = 200K assumption = autocompact thrash, dsv4flash lesson);CACHE_WRITE_CORRECTED_20260911=shipped cost_est_usd=14.4555 with cache_write modelled at $0.00. OpenRouter lists qwen3.8-max-0902 cache writes at $2.50/MTok and this leg wrote 343350 cache-creation tokens. Recomputed from this row's own token columns at 2.0 in / 2.5 cache-write / 0.25 cache-read / 6.0 out per MTok = $15.3139. Still a list-price ESTIMATE and not a bill - no OR credits delta was captured for this run despite the arm note claiming credits-delta canonical"
musespark12,Muse Spark 1.2,xhigh,1292.6,2691692,0,6460436,17887,,9170015,4.4097,0,"Meta Muse Spark 1.2 via native Anthropic-compatible endpoint https://api.meta.ai/v1/messages (NO local proxy - Meta serves the Anthropic wire format directly, unlike the OR-proxied arms). EFFORT VERIFIED ACTIVE 2026-08-06 per the grok45max lesson: output_config.effort (what Claude Code sends) accepts ONLY low|medium|high|xhigh - `max`, `ultra`, `none`, `minimal` are all 400-REJECTED, so the endpoint validates LOUDLY and cannot silently clamp; xhigh IS the ceiling and the label is honest. N=3 replicate probe on a fixed reasoning prompt: low mean 1055 thinking-tok, high 1738, xhigh 1999 (low vs high non-overlapping = real dial; high vs xhigh overlaps at n=3 = weak separation, do not claim a big dial effect). Model string MUST carry [1m]: ctx verified >=800K (800,017 input tokens accepted 200) and the CLI strips the suffix before sending upstream (verified - Meta rejects unknown model ids loudly, and the smoke run returned 200). Prompt caching CONFIRMED working (cache_read_input_tokens 51298 on a warm second run). BILLING TIER VERIFIED STANDARD 2026-08-06 from live response headers (x-ratelimit-limit-requests=3000, x-ratelimit-limit-tokens=4000000 - the published standard-tier limits; the cheaper CONTRIBUTOR tier is capped at 60 RPM). This matters beyond cost: the contributor tier buys its ~12-21x discount with permission to train Meta models on prompts AND completions, while standard is contractually excluded from training - so the bench repo contents were NOT fed to training. Standard list rates applied here: 1.25 input / 0.15 cached-read / 4.25 output per MTok, no long-context premium. CAVEAT: the cache-WRITE rate is not published anywhere I could verify; cache_write is set equal to input (1.25) as a conservative stand-in, so cost_est_usd is a list-rate ESTIMATE, not a bill - confirm against the real Meta invoice before putting it on a card (the v4-pro cache-pricing lesson: a listed cache discount did not apply)."
musespark12or,Muse Spark 1.2 (OpenRouter),default,2382.8,3515223,0,32087190,269888,,35872301,10.025,0,"via=local OpenRouter shim (Anthropic wire format);upstream=openrouter meta/muse-spark-1.2 (ctx 1,048,576; OR list rates identical to Meta direct: 1.25 in / 0.15 cache-read / 4.25 out). Run 2026-08-06 because Meta's OWN endpoint was returning 402 Billing verification failed - this is the SAME MODEL reached by a different serving path. *** EFFORT COLUMN IS A REQUEST, NOT AN ACTIVE SETTING - DO NOT READ THIS AS AN XHIGH ROW. *** Verified 2026-08-06: OpenRouter's dial is INERT for this model. OR accepts ANY effort string including `bogus_zzz` with HTTP 200 (no validation = the grok45max silent-clamp signature), and n=3 replicates on a fixed reasoning prompt are flat-to-inverted - low 1881 mean thinking-tok / high 1815 / xhigh 1795, with within-level spread 808-1430 dwarfing the ~86 between-level gap. By contrast Meta's FIRST-PARTY endpoint 400-REJECTS `ultra`/`max`/`bogus` and separates cleanly (low 1055 / high 1738 / xhigh 1999). So this row measures DEFAULT thinking and is NOT an apples-to-apples companion to the musespark12 (Meta-direct, genuine xhigh) row. Same first-party-real / OR-fake split documented for grok-4.5 the same week. Model string is claude-opus-5[1m] only to give the CLI a proven 1M context assumption (the dsv4flash autocompact-thrash lesson); the proxy rewrites every upstream call to meta/muse-spark-1.2. Billing: token-estimate at OR list, credits-delta canonical per the v4-pro cache-pricing lesson.;openrouter_billed_usd=10.025 | EFFORT LABEL: requested xhigh, ran DEFAULT - this arm went through OpenRouter, which accepts any effort value (including a nonsense one) with HTTP 200 and applies none. Its Meta first-party sibling (musespark12) is the same model with the tier actually applied."
grok45r3,Grok 4.5 (re-run Aug 6),high,878.0,182120,,181888,324,14,182444,5.2225,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5. THIRD high run - same shape as the gpt56r2 Sol re-run: this tests a SERVING change, not a new model. The grok CLI still lists only grok-4.5 (no 4.6 as of this run). `high` IS the ceiling: grok-4.5 exposes only low/medium/high, the CLI silently clamps unknown values (ACP-verified 2026-08-01) and the first-party API 400-rejects reasoning_effort=max. No thinking-budget parameter exists on this CLI, and `grok agent ... stdio` - the ACP mode this harness drives - has NO --max-turns, so nothing caps rounds (verified 2026-08-06 from its full help). READ THE DELTA CAREFULLY: the first-party n=5 dial probe found default(no param)=medium and medium~=high indistinguishable, so `high` buys little over default on this model; and priors at this same setting are grok45 16/105 and grok45max 13/105, so this is the THIRD point in a variance picture, not a clean before/after. MUST RUN SEQUENTIALLY - two concurrent grok CLI processes race on auth.json and wiped credentials once (2026-08-01), forcing a device re-login.; FLOOR reconstructed from the CLI's session logs (3 sessions, 74 requests, ~8.82M cached-read, 182,143 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
grok46,Grok 4.6,xhigh,1001.1,275831,,275584,339,16,276170,11.4415,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. EFFORT VERIFIED ACTIVE 2026-08-12 via zero-token ACP session/new readback (evidence: effort-dial-probes/20260812-grok46-acp-readback.{md,json}): grok-4.6's enum is low|medium|high|xhigh; requesting xhigh echoes back ACTIVE xhigh, so the label is honest and xhigh IS the ceiling - a NEW tier vs grok-4.5, which still tops out at high in the same session/new response. The exact string is `xhigh` with NO hyphen: 'x-high', 'max', and garbage values all SILENTLY CLAMP TO HIGH (the CLI validates nothing - only the readback makes a row trustworthy; the hyphenated spelling would have been the grok45max mistake via typo). ctx 500,000 per ACP _meta. Legs run CONCURRENT 2026-08-12 by choice (wall-clock caveat vs sequential baselines; auth.json race risk accepted; repo 2 launch staggered past repo 1's prepare to dodge the WinError5 rename-lock class).; FLOOR reconstructed from the CLI's session logs (3 sessions, 113 requests, ~20.42M cached-read, 275,933 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
gemini37flash,Gemini 3.7 Flash,high,2705.5,1932058,0,31990466,53347,33167,33975871,4.0484,0,"harness=Gemini CLI 0.56.0 headless (-p, --yolo, stream-json), Google first-party API via a local rewriting gateway (--rewrite gemini-3.5-flash=gemini-3.7-flash --thinking-level high --tag gemini37flash). THE PROXY IS NOT OPTIONAL: Gemini CLI 0.56.0 (also 0.57.0-preview.0 + the 08-24 nightly) silently maps EVERY model id ending in 'flash' that is outside its VALID_GEMINI_MODELS set onto its default gemini-3.5-flash (resolveModel(): useGemini3_5Flash && isFlashModel(resolved) -> DEFAULT_GEMINI_FLASH_MODEL); -m gemini-3.7-flash, GEMINI_MODEL, and a customAliases entry all produced 3.5-flash API calls while the init event echoed 3.7 (smoke 2026-08-24). Same class as the grok CLI clamping max->high. The proxy rewrites the model on the wire and logs the served modelVersion per call; the runner refuses to start without it (preflight) and flags MODEL MISMATCH if any served modelVersion differs from the arm model. EFFORT: high IS the ceiling and the label is honest - Google's thinkingLevel enum on gemini-3.7-flash is low|medium|high, xhigh/max are 400-REJECTED (loud validation). Dial VERIFIED ACTIVE 2026-08-24 (effort-dial-probes/20260824-gemini37flash-google-api.txt, n=5): low 1721-2352 / medium 3489-4076 / high 6482-7438 thoughts-tok, non-overlapping + monotonic, within-level <=1.37x, 3.48x between; default(no param)=medium, so high ~1.8x the default's thinking. Per-call readback of thinkingLevel=high + modelVersion=gemini-3.7-flash lives in the proxy JSONL (the gateway's per-call log) and effort-dial-probes/20260824-gemini37flash-gemini-cli-readback.md. BILLING: token-estimate at Google STANDARD list (0.75 in / 0.075 cache-read / 3.75 out incl. thinking, through 2026-12-31 - doubles Jan 1 2027), counted from the API's own usageMetadata via the proxy meter, NOT the CLI's stats; no credits API on Google, so this is an estimate labeled as such. ctx 1,048,576. Bench settings via GEMINI_CLI_SYSTEM_SETTINGS_PATH: auth pinned to gemini-api-key (the base-URL env otherwise auto-selects 'gateway', which the CLI rejects), loop detection OFF for parity (no other harness has that cut), maxSessionTurns unlimited (CLI default), usage stats off. Prompt via -p argv like the codex harness.;meter=cli_stats per leg (prompt 33922524 = 1932058 uncached + 31990466 cached, candidates 20180, thinking 33167 billed as output);wire_readback(BOTH legs, one tag, no per-leg header on this launch)=served{""gemini-3.7-flash"": 498} level{""high"": 498} 498 generate calls/5 non-200 after proxy retries, usageMetadata totals prompt 63045886/cached 57926992/candidates 36587/thoughts 70898;row repaired post-run (the 19:15 in-memory harness fell back to CLI stats and priced output without thinking)"
gemini37flash_agy,Gemini 3.7 Flash (Antigravity CLI),high,1711.1,2316836,0,49219117,128827,36702,51664780,5.9122,0,"harness=Antigravity CLI (agy) 1.1.20 headless, Google's CURRENT CLI - Gemini CLI was retired 2026-06-18 (paid API keys kept working, which is what the 08-24 gemini37flash arm used; retest requested publicly). Model slug gemini-3.7-flash-high (effort baked in) + --effort high; --dangerously-skip-permissions; --add-dir <run copy> (without it the agent's workspace is ~/.gemini/antigravity-cli/scratch and it wanders the drive root). Auth = Antigravity Google subscription sign-in (subscription, NO bill): cost is a token-estimate at Google API standard list (0.75 in / 0.075 cache-read / 3.75 out incl. thinking), labeled as such. agy talks to Google's cloudcode backend (daily-cloudcode-pa.googleapis.com), no public API in the path, so there is no wire readback - the served model is what the first-party CLI reports in its init event (same trust level as Codex/grok naming theirs); the harness flags MODEL MISMATCH if init.model differs. usage semantics verified on the smoke 2026-08-25: input_tokens = uncached prompt, cache_read_tokens separate, output_tokens include thinking_tokens, result.usage == sum of step usages.;agy_status=SUCCESS;agy_turns=1;agy_init_model=gemini-3.7-flash-high;thinking_tok=36702"
oxalpha,Ox Alpha (stealth),high,1718.8,374819,0,31605376,32263,,32012458,0.0,0,"via=local OpenRouter shim (--max-retries 40 --backoff-cap 90 --require-reasoning);upstream=OR stealth/ox-alpha, listed 2026-08-20, FREE ($0/$0 on OR, so cost_est_usd=0 is exact, not an estimate; credits-delta ~0). IDENTITY: the wire fingerprint (the stealth-ox-alpha-fingerprint set in phuryn/experiments) puts this at Z.ai GLM on the GLM-5.3 serving stack - tokenizer 172 on the fixed passage, six-for-six special tokens with GLM-5.3, identical supported_parameters and ctx/max-out, listed 2 days after 5.3; the slug carries a ~75-token identity-denial system prompt. Card it as 'Ox Alpha (stealth, fingerprints as Z.ai GLM)', never as a named GLM release. *** EFFORT COLUMN IS A REQUEST, NOT A VERIFIED SETTING *** - OpenRouter's dial is INERT for most models (rule 1) and was NOT probed for this slug (free pool, heavy 429s); the proxy passes the CLI's native thinking param through and only adds reasoning={enabled:true} to side-calls that carry none (the upstream 400s with 'Reasoning is mandatory' otherwise, seen once in the smoke). Report as DEFAULT effort. ctx 1,048,576 (max out 131,072) so the CLI model string MUST carry [1m] - bare claude-opus-5 = 200K assumption = autocompact thrash (dsv4flash lesson). Legs run SEQUENTIALLY: the free pool is shared and 429'd for 10+ minutes at a stretch on 2026-08-24, so two concurrent legs would compete with each other; wall-clock is therefore NOT comparable to the concurrent-leg rows either way, and scores were the point here, times secondary. timeout 6h per leg to absorb throttling.;openrouter_billed_usd=0.0"
glm53,GLM-5.3,high,1968.5,323858,0,34523200,47004,,34894062,9.4581,0,"via=local OpenRouter shim (--max-retries 20 --backoff-cap 60 --require-reasoning);upstream=OR z-ai/glm-5.3 (Z.AI, listed 2026-08-18, ctx 1,048,576 / max out 131,072). *** EFFORT COLUMN IS A REQUEST, NOT A VERIFIED SETTING *** - see effort-dial-probes/20260825-glm53-openrouter.txt: OpenRouter's dial does NOT separate on this model (rule 1), so this row must be reported as DEFAULT effort, exactly like the Kimi / DeepSeek / Muse-OR rows. The first probe was void (max_tokens 6000 truncated the none/low samples at the cap); the re-probe gave it 32K of room. The proxy passes the CLI's native thinking param through and only adds reasoning={enabled:true} to side-calls that carry none or carry thinking:{type:disabled} - GLM's endpoint 400s on reasoning-off the same way ox-alpha does. billing=REAL OpenRouter bill (credits-delta, canonical per the v4-pro cache-pricing lesson); list is 1.40 in / 0.26 cache-read / 4.40 out per MTok, projected ~$17 on the Ox Alpha token shape. ctx 1M so the CLI model string MUST carry [1m] (dsv4flash autocompact lesson). Legs SEQUENTIAL, matching the oxalpha run this one is the natural comparison for: same harness, same proxy, same shape - and ox-alpha's wire fingerprint says it IS a GLM on the 5.3 serving stack, so this arm is the control that tests that claim on behaviour rather than on tokenizer bytes.;openrouter_billed_usd=9.4581"
glm53flash,GLM-5.3 Flash,high,1729.5,344782,0,31899968,30446,,32275196,0.5018,0,"via=local OpenRouter shim (--max-retries 20 --backoff-cap 60 --require-reasoning --provider Z.AI);upstream=OR z-ai/glm-5.3-flash (endpoint z-ai/glm-5.3-flash-20260826, listed 2026-08-26, ctx 1,048,576 / max out 131,072, fp8), PINNED to Z.AI with allow_fallbacks=false - 12 hosts served this slug at 3 price points on launch day and OpenRouter load-balances per request, so an unpinned run is MIXED-PATH (Muse Spark 08-06 lesson); Z.AI is first-party and the only host of z-ai/glm-5.3, so this row and the glm53 row share a serving path. IDENTITY: the named release of the stealth slug benched as oxalpha on 2026-08-25 (16/105, $0) - Same harness, same proxy, same SEQUENTIAL shape as oxalpha and glm53, so the three rows are directly comparable. *** EFFORT COLUMN IS A REQUEST, NOT A VERIFIED SETTING *** - report as DEFAULT unless effort-dial-probes/20260827-glm53flash-openrouter.txt says the OR dial binds (rule 1); the proxy passes the CLI's native thinking param through and adds reasoning={enabled:true} only to side-calls that carry none or thinking:{type:disabled}. billing=REAL OpenRouter bill (credits-delta, canonical); Z.AI list 0.075 in / 0.015 cache-read / 0.25 out per MTok, shown on OR with discount=0.5 (undiscounted 0.15/0.03/0.50 - a launch discount can lapse, the bill is the number and the list is context); projected ~$1 on the glm53 token shape. ctx 1M so the CLI model string MUST carry [1m] (dsv4flash autocompact lesson). timeout 6h per leg.;openrouter_billed_usd=0.5018"
gpt56lunalow,GPT-5.6 Luna (low),low,182.4,1314543,,1219840,4104,641,1318647,0.0483,0,"auth=chatgpt-account;slug=gpt-5.6-luna;official-list-rates-post-20260730-cut. low companion to gpt56lunahigh (13/105, 07-31) and gpt56luna max (33/105, 07-31) for the dial study. Effort is a FIRST-PARTY tier (Codex config model_reasoning_effort, taken at face value like every Codex row; the CLI accepted low on a smoke call 2026-08-27). HARNESS VERSION: extension 26.820.71523 / codex-cli 0.150.0-alpha.8 at run time - NEWER than the Jul 31 Luna rows (26.715); a serving/CLI change is a confound for any dial comparison across dates, say so on the card. Legs SEQUENTIAL (board norm; the Jul 31 Luna legs ran concurrently)."
gpt56lunamedium,GPT-5.6 Luna (medium),medium,464.9,5483500,,5292032,12580,2998,5496080,0.1592,0,"auth=chatgpt-account;slug=gpt-5.6-luna;official-list-rates-post-20260730-cut. medium companion to gpt56lunahigh (13/105, 07-31) and gpt56luna max (33/105, 07-31) for the dial study. Effort is a FIRST-PARTY tier (Codex config model_reasoning_effort, taken at face value like every Codex row; the CLI accepted medium on a smoke call 2026-08-27). HARNESS VERSION: extension 26.820.71523 / codex-cli 0.150.0-alpha.8 at run time - NEWER than the Jul 31 Luna rows (26.715); a serving/CLI change is a confound for any dial comparison across dates, say so on the card. Legs SEQUENTIAL (board norm; the Jul 31 Luna legs ran concurrently)."
grok46low,Grok 4.6 (low),low,616.9,135588,,135424,265,11,135854,1.9861,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. EFFORT VERIFIED by zero-token ACP readback before launch (effort-dial-probes/20260827-grok46-low-acp-readback.{md,json}); the arm is not launched unless the readback echoes ACTIVE low (the CLI silently clamps unknown values to high - rule 1 as a code path). Low companion to grok46 (xhigh 27/105, 08-12) and grok46medium (23/105, 08-14, unpublished at the time) for the dial study. Legs SEQUENTIAL - the two earlier 4.6 rows ran CONCURRENT legs, so wall-clock is not comparable within the family. CLI grok 1.0.5 (xhigh/medium rows: 1.0.3).; FLOOR reconstructed from the CLI's session logs (1 sessions, 34 requests, ~3.02M cached-read, 135,674 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
grok46medium,Grok 4.6 (medium),medium,670.1,195596,,192256,408,75,196005,7.0514,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. EFFORT VERIFIED ACTIVE 2026-08-14 via zero-token ACP session/new readback (effort-dial-probes/20260814-grok46-medium-acp-readback.{md,json}): requesting `medium` echoes back ACTIVE medium on CLI grok 1.0.3 - the exact-string rule from the 08-12 probe (unknown values silently clamp to high). Medium companion to grok46 (xhigh, 27/105, 2026-08-12) for the dial comparison. Legs run CONCURRENT by choice alongside an interactive grok session - wall-clock NOT comparable to sequential baselines; repo 2 staggered past repo 1's prepare (WinError5/husk class);; FLOOR reconstructed from the CLI's session logs (3 sessions, 95 requests, ~12.17M cached-read, 195,738 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
opus5medium,Opus 5 (medium),medium,1102.3,306,372691,35188901,45620,,35607518,21.0658,0,"medium companion to opus5 (high, 21/105, 07-26) and opus5max (27/105, 08-01) for the dial study. Effort is a FIRST-PARTY tier (Claude Code --effort medium, documented enum low|medium|high|xhigh|max). Legs SEQUENTIAL. Claude Code 2.1.247 at run time - later CLI build than the Jul/Aug Opus rows, a confound for cross-date dial comparisons."
gpt56terramax,GPT-5.6 Terra (max),max,5386.1,53462067,,51893504,165836,70121,53627903,15.5059,0,"auth=chatgpt-account;slug=gpt-5.6-terra;official-list-rates-post-20260730-cut ($2/$12 per Mtok in/out, $0.20 cache-read - 10x Luna, mid tier between Sol $5 and Luna $0.20). max tier of the Terra dial (max+high+medium). Effort is a FIRST-PARTY Codex tier (model_reasoning_effort, taken at face value like every Codex row; CLI accepted gpt-5.6-terra at max/high on a smoke call 2026-08-27). Legs SEQUENTIAL (board norm). Judge routes to grok (non-sibling) like the other OpenAI arms.;keepalive_sweeps=1"
gpt56terrahigh,GPT-5.6 Terra (high),high,786.7,9116557,,8880896,23127,8842,9139684,2.525,0,"auth=chatgpt-account;slug=gpt-5.6-terra;official-list-rates-post-20260730-cut ($2/$12 per Mtok in/out, $0.20 cache-read - 10x Luna, mid tier between Sol $5 and Luna $0.20). high tier of the Terra dial (max+high+medium). Effort is a FIRST-PARTY Codex tier (model_reasoning_effort, taken at face value like every Codex row; CLI accepted gpt-5.6-terra at max/high on a smoke call 2026-08-27). Legs SEQUENTIAL (board norm). Judge routes to grok (non-sibling) like the other OpenAI arms."
gpt56terramedium,GPT-5.6 Terra (medium),medium,563.1,6083463,,5899776,15163,3807,6098626,1.7293,0,"auth=chatgpt-account;slug=gpt-5.6-terra;official-list-rates-post-20260730-cut ($2/$12 per Mtok in/out, $0.20 cache-read - 10x Luna, mid tier between Sol $5 and Luna $0.20). medium tier of the Terra dial (max+high+medium). Effort is a FIRST-PARTY Codex tier (model_reasoning_effort, taken at face value like every Codex row; CLI accepted gpt-5.6-terra at max/high on a smoke call 2026-08-27). Legs SEQUENTIAL (board norm). Judge routes to grok (non-sibling) like the other OpenAI arms."
gpt56lunaxhigh,GPT-5.6 Luna (xhigh),xhigh,3269.4,29053756,,27975936,95166,29928,29148922,0.8893,0,"Effort xhigh VERIFIED a first-party tier 2026-08-27: the OpenAI API 400-rejects a bogus effort and its error lists the enum none|minimal|low|medium|high|xhigh|max, so xhigh is a real accepted value (cannot silently clamp). Fills the high->xhigh->max dial. Legs SEQUENTIAL. Luna xhigh between high (13/105) and max (33/105). auth=chatgpt-account. Judge routes to grok.;keepalive_sweeps=1"
grok46high,Grok 4.6 (high),high,1088.7,221794,,221568,296,11,222091,7.6837,0,"Grok 4.6 HIGH - the missing dial tier (low 15, medium 23, high ?, xhigh 27). RULE 1 GATE: run a fresh zero-token ACP session/new readback on the local grok CLI before launch; grok-4.6's enum is low|medium|high|xhigh and unknown values silently clamp to high, so only launch if the readback echoes ACTIVE high. SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. Legs SEQUENTIAL. Cost = floor (session-log reconstruction). Judge = Codex gpt-5.5 (non-sibling).; FLOOR reconstructed from the CLI's session logs (3 sessions, 92 requests, ~13.37M cached-read, 221,964 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
